,0,Gene ID
ENSG00000140905,0.000553427,
ENSG00000132471,0.000552579,
ENSG00000229252,0.000552239,
ENSG00000189043,0.000550527,
ENSG00000214941,0.000550137,
ENSG00000163964,0.000548278,
ENSG00000272553,0.000543293,
ENSG00000117593,0.000541109,
ENSG00000143257,0.000541005,
ENSG00000196302,0.000540709,
ENSG00000205592,0.000539824,
ENSG00000074803,0.00053917,
ENSG00000205707,0.000538989,
ENSG00000229088,0.000538473,
ENSG00000043039,0.000537738,
ENSG00000250317,0.000534903,
ENSG00000120457,0.000534205,
ENSG00000262180,0.00053038,
ENSG00000168653,0.000528898,
ENSG00000196741,0.000521101,
ENSG00000270216,0.000519347,
ENSG00000152147,0.000517427,
ENSG00000161609,0.000514555,
ENSG00000124562,0.000514034,
ENSG00000203760,0.000513439,
ENSG00000144868,0.000513242,
ENSG00000157064,0.000509432,
ENSG00000128815,0.000508131,
ENSG00000166851,0.000505368,
ENSG00000099260,0.000504495,
ENSG00000128617,0.000504257,
ENSG00000143162,0.000503341,
ENSG00000144847,0.000501085,
ENSG00000136040,0.000499513,
ENSG00000164167,0.00049752,
ENSG00000230254,0.000495732,
ENSG00000008056,0.000495727,
ENSG00000159640,0.000494858,
ENSG00000270375,0.000494001,
ENSG00000156384,0.000493177,
ENSG00000115155,0.000493042,
ENSG00000234925,0.000492093,
ENSG00000184507,0.000491065,
ENSG00000183747,0.000491017,
ENSG00000145384,0.00049078,
ENSG00000149806,0.000488265,
ENSG00000229456,0.000488137,
ENSG00000167566,0.000487886,
ENSG00000224420,0.000487633,
ENSG00000224552,0.00048749,
ENSG00000112149,0.000486557,
ENSG00000123201,0.000486265,
ENSG00000005075,0.000485392,
ENSG00000103260,0.000482035,
ENSG00000134545,0.000481384,
ENSG00000175854,0.000481154,
ENSG00000211879,0.000479399,
ENSG00000211460,0.000476542,
ENSG00000165495,0.000476437,
ENSG00000186687,0.000476328,
ENSG00000226259,0.000475903,
ENSG00000102931,0.000475464,
ENSG00000105398,0.000475384,
ENSG00000259845,0.000475321,
ENSG00000234495,0.000474924,
ENSG00000253291,0.000474839,
ENSG00000172992,0.000474645,
ENSG00000164796,0.000474592,
ENSG00000135407,0.000474363,
ENSG00000187164,0.000474305,
ENSG00000176410,0.000474074,
ENSG00000227921,0.000473819,
ENSG00000099385,0.000473728,
ENSG00000175564,0.000472671,
ENSG00000131495,0.000472339,
ENSG00000130119,0.000472101,
ENSG00000142156,0.000472021,
ENSG00000139168,0.000471841,
ENSG00000185055,0.00047169,
ENSG00000155868,0.000471386,
ENSG00000188157,0.000469538,
ENSG00000268738,0.00046838,
ENSG00000168243,0.0004663,
ENSG00000146476,0.000465653,
ENSG00000138813,0.000465368,
ENSG00000225663,0.00046528,
ENSG00000197261,0.000464472,
ENSG00000211793,0.000463953,
ENSG00000156804,0.00046223,
ENSG00000271043,0.000461045,
ENSG00000177600,0.000459991,
ENSG00000262847,0.000458859,
ENSG00000160307,0.00045851,
ENSG00000035720,0.000458375,
ENSG00000130755,0.000458327,
ENSG00000249087,0.000457508,
ENSG00000172803,0.000456189,
ENSG00000262771,0.000456032,
ENSG00000111843,0.000455819,
ENSG00000111801,0.000455488,
ENSG00000039123,0.000455408,
ENSG00000109686,0.000454405,
ENSG00000170382,0.000453817,
ENSG00000268314,0.000453706,
ENSG00000118507,0.0004537,
ENSG00000273427,0.000452797,
ENSG00000164078,0.000452216,
ENSG00000187231,0.000451253,
ENSG00000198522,0.000451177,
ENSG00000267270,0.000450964,
ENSG00000224051,0.000450401,
ENSG00000135940,0.000449885,
ENSG00000129187,0.000449161,
ENSG00000142611,0.000448818,
ENSG00000273422,0.000447798,
ENSG00000214223,0.000446372,
ENSG00000088992,0.000446293,
ENSG00000187210,0.000446127,
ENSG00000112984,0.000445098,
ENSG00000183066,0.000443345,
ENSG00000132975,0.000443001,
ENSG00000186417,0.000442567,
ENSG00000176014,0.000441686,
ENSG00000258103,0.000441393,
ENSG00000107014,0.000441204,
ENSG00000179104,0.000437447,
ENSG00000140006,0.000437312,
ENSG00000074696,0.000436829,
ENSG00000215305,0.000436781,
ENSG00000263061,0.000436212,
ENSG00000137100,0.000435928,
ENSG00000171097,0.000435688,
ENSG00000196600,0.000435653,
ENSG00000112799,0.000435466,
ENSG00000187893,0.000435185,
ENSG00000130202,0.000435109,
ENSG00000197381,0.000434946,
ENSG00000106153,0.000434839,
ENSG00000113391,0.000433213,
ENSG00000039560,0.000433169,
ENSG00000118004,0.000433131,
ENSG00000154518,0.000433078,
ENSG00000205981,0.000433025,
ENSG00000262700,0.000432494,
ENSG00000226284,0.000431969,
ENSG00000108773,0.000431781,
ENSG00000268699,0.000431468,
ENSG00000211804,0.000430946,
ENSG00000108753,0.000430685,
ENSG00000164855,0.000430638,
ENSG00000134757,0.000430061,
ENSG00000130943,0.000428253,
ENSG00000184162,0.000427369,
ENSG00000187608,0.000426599,
ENSG00000164010,0.000425771,
ENSG00000133980,0.000424263,
ENSG00000155886,0.000423928,
ENSG00000169314,0.000423903,
ENSG00000147601,0.000423531,
ENSG00000268765,0.000421731,
ENSG00000183779,0.000420233,
ENSG00000154783,0.00042016,
ENSG00000235370,0.000420096,
ENSG00000007933,0.000419094,
ENSG00000152475,0.00041867,
ENSG00000141837,0.000416763,
ENSG00000171119,0.000416737,
ENSG00000111817,0.000416677,
ENSG00000111331,0.000416639,
ENSG00000155428,0.000415936,
ENSG00000013306,0.000415381,
ENSG00000168765,0.000414949,
ENSG00000119922,0.000414949,
ENSG00000186314,0.000414938,
ENSG00000184434,0.000414084,
ENSG00000175899,0.000413652,
ENSG00000213186,0.000413652,
ENSG00000142959,0.000413647,
ENSG00000197249,0.000413223,
ENSG00000168260,0.00041295,
ENSG00000007001,0.000411778,
ENSG00000117862,0.000410729,
ENSG00000142669,0.000410344,
ENSG00000170370,0.000409073,
ENSG00000145934,0.000408801,
ENSG00000150782,0.000408666,
ENSG00000108370,0.000408208,
ENSG00000219073,0.000407936,
ENSG00000145912,0.000407433,
ENSG00000100033,0.000406095,
ENSG00000211706,0.000405439,
ENSG00000249244,0.000405394,
ENSG00000211884,0.000404289,
ENSG00000171960,0.000403312,
ENSG00000133985,0.000400808,
ENSG00000133393,0.000399174,
ENSG00000240583,0.000399141,
ENSG00000146701,0.000398821,
ENSG00000260890,0.000398724,
ENSG00000155189,0.000397789,
ENSG00000254536,0.000396532,
ENSG00000189046,0.000396392,
ENSG00000198894,0.000395897,
ENSG00000136982,0.000395483,
ENSG00000156219,0.000395394,
ENSG00000226945,0.000394698,
ENSG00000114686,0.000393426,
ENSG00000128581,0.000392998,
ENSG00000157500,0.000392759,
ENSG00000237071,0.000392755,
ENSG00000268956,0.00039214,
ENSG00000156504,0.000392082,
ENSG00000082515,0.000391891,
ENSG00000130035,0.000391841,
ENSG00000183688,0.000391189,
ENSG00000226121,0.000391124,
ENSG00000269231,0.000391028,
ENSG00000161570,0.000390951,
ENSG00000178217,0.000389047,
ENSG00000134283,0.000388575,
ENSG00000115255,0.000387945,
ENSG00000262028,0.000387825,
ENSG00000070808,0.000387481,
ENSG00000268176,0.000387397,
ENSG00000269743,0.000387202,
ENSG00000105357,0.000386279,
ENSG00000105254,0.000386001,
ENSG00000266258,0.000385039,
ENSG00000261300,0.000384557,
ENSG00000184985,0.000383205,
ENSG00000148950,0.000382983,
ENSG00000196507,0.000380325,
ENSG00000196747,0.000380059,
ENSG00000232112,0.000379788,
ENSG00000011028,0.00037958,
ENSG00000269180,0.000379519,
ENSG00000155275,0.000379502,
ENSG00000261917,0.00037909,
ENSG00000164181,0.000378648,
ENSG00000173540,0.000377201,
ENSG00000117592,0.000376336,
ENSG00000083642,0.000376033,
ENSG00000204161,0.000375789,
ENSG00000159674,0.000375594,
ENSG00000145736,0.000374998,
ENSG00000164744,0.000374853,
ENSG00000113318,0.000374413,
ENSG00000206268,0.000373213,
ENSG00000174898,0.000372871,
ENSG00000213516,0.000372615,
ENSG00000262773,0.00037233,
ENSG00000048544,0.000371508,
ENSG00000105707,0.000371136,
ENSG00000257727,0.00037056,
ENSG00000136379,0.000370511,
ENSG00000205215,0.00037049,
ENSG00000188897,0.000370171,
ENSG00000175581,0.000370001,
ENSG00000257774,0.000369704,
ENSG00000257211,0.000369448,
ENSG00000119147,0.000369397,
ENSG00000131469,0.000369097,
ENSG00000188883,0.000368698,
ENSG00000163810,0.000367994,
ENSG00000172318,0.000367738,
ENSG00000124787,0.00036766,
ENSG00000133816,0.000367516,
ENSG00000167272,0.000367456,
ENSG00000223700,0.000367231,
ENSG00000197665,0.000366743,
ENSG00000184924,0.000366739,
ENSG00000125823,0.000366635,
ENSG00000179387,0.000366487,
ENSG00000116459,0.000366314,
ENSG00000269520,0.000365749,
ENSG00000087589,0.000364797,
ENSG00000218358,0.000364754,
ENSG00000163517,0.000364749,
ENSG00000187534,0.00036444,
ENSG00000197620,0.000364265,
ENSG00000173208,0.000364159,
ENSG00000258053,0.00036086,
ENSG00000137880,0.000360847,
ENSG00000219470,0.000360184,
ENSG00000111481,0.000359882,
ENSG00000184911,0.000358309,
ENSG00000214114,0.000357441,
ENSG00000156735,0.000357334,
ENSG00000162511,0.000357309,
ENSG00000239732,0.000356597,
ENSG00000024862,0.000355674,
ENSG00000173124,0.00035333,
ENSG00000116711,0.000352812,
ENSG00000251013,0.000351579,
ENSG00000125743,0.000350743,
ENSG00000130592,0.000350229,
ENSG00000206299,0.000350219,
ENSG00000196678,0.000350155,
ENSG00000215595,0.000350132,
ENSG00000116791,0.00035002,
ENSG00000183513,0.000349733,
ENSG00000162426,0.000349597,
ENSG00000196569,0.000349204,
ENSG00000137198,0.000349125,
ENSG00000089685,0.000348992,
ENSG00000205155,0.00034892,
ENSG00000169442,0.000348712,
ENSG00000139291,0.00034861,
ENSG00000112357,0.000348513,
ENSG00000020922,0.000348179,
ENSG00000198589,0.000348144,
ENSG00000125257,0.000347563,
ENSG00000105767,0.000345407,
ENSG00000134874,0.000345405,
ENSG00000148296,0.00034533,
ENSG00000171124,0.000345272,
ENSG00000221962,0.000345155,
ENSG00000269240,0.000344578,
ENSG00000268869,0.000343644,
ENSG00000267910,0.000343589,
ENSG00000155096,0.000343269,
ENSG00000105472,0.000341719,
ENSG00000185507,0.00034159,
ENSG00000213619,0.000341159,
ENSG00000166963,0.000340395,
ENSG00000051596,0.000340184,
ENSG00000168394,0.000339905,
ENSG00000148357,0.000339844,
ENSG00000037897,0.000339756,
